Date,Activity,Type of activity,Branches of people,No. of class days
April 11,Regular academic activity,None,Everyone,65
April 12,Regular academic activity,None,Everyone,66
April 13,Regular academic activity,None,Everyone,67
April 14,Regular academic activity,None,Everyone,68
April 15,Regular academic activity,None,Everyone,69
April 16,Regular academic activity,None,Everyone,
April 17,Regular academic activity,None,Everyone,70
April 18,Regular academic activity,None,Everyone,71
April 19,Regular academic activity,None,Everyone,72
April 20,Regular academic activity,None,Everyone,73
April 21,Regular academic activity,None,Everyone,74
April 22,Ramzan,Holiday,Everyone,
April 23,Regular academic activity,None,Everyone,
April 24,Regular academic activity,None,Everyone,75
April 25,Regular academic activity,None,Everyone,76
April 26,Regular academic activity,None,Everyone,77
April 27,Preparation for End Exams,Evaluations,Everyone,
April 28,End Exams incl other Eval,Evaluations,Everyone,
April 29,End Exams incl other Eval,Evaluations,Everyone,
April 30,End Exams incl other Eval,Evaluations,Everyone,
May 1,End Exams incl other Eval,Evaluations,Everyone,
May 1,Paper chaecking and Distribution,Evaluations,Everyone,
May 2,End Exams incl other Eval,Evaluations,Everyone,
May 2,Paper chaecking and Distribution,Evaluations,Everyone,
May 3,End Exams incl other Eval,Evaluations,Everyone,
May 3,Paper chaecking and Distribution,Evaluations,Everyone,
May 4,End Exams incl other Eval,Evaluations,Everyone,
May 4,Paper chaecking and Distribution,Evaluations,Everyone,
May 5,End Exams incl other Eval,Evaluations,Everyone,
May 5,Paper chaecking and Distribution,Evaluations,Everyone,
May 6,Lab exams,Evaluations,Everyone,
May 6,Paper chaecking and Distribution,Evaluations,Everyone,
May 6,BTP-1 VIVA VOCE-1,Evaluations,BTP Students,
May 7,Paper chaecking and Distribution,Evaluations,Everyone,
May 8,Paper chaecking and Distribution,Evaluations,Everyone,
May 9,Start of Summer Vacation (SV),Important dates,Everyone,
May 9,Course grades due,Academic Events,Everyone,
May 10,Vacation,None,Everyone,
May 11,Vacation,None,Everyone,
May 12,Vacation,None,Everyone,
May 13,Vacation,None,Everyone,
May 14,Vacation,None,Everyone,
May 15,Project Report submission,Academic Events,BTP Students,
May 16,Vacation,None,Everyone,
May 17,Vacation,None,Everyone,
May 18,Vacation,None,Everyone,
May 19,Project Grade Due,Academic Events,BTP Students,
May 20,Vacation,None,Everyone,
May 21,Vacation,None,Everyone,
May 22,Vacation,None,Everyone,
May 23,Declaration of Results,Academic Events,MS/Phd Students,
May 24,Vacation,None,Everyone,
May 25,Vacation,None,Everyone,
May 26,Vacation,None,Everyone,
May 27,Vacation,None,Everyone,
May 28,Vacation,None,Everyone,
May 29,Vacation,None,Everyone,
May 30,Vacation,None,Everyone,
May 31,Vacation,None,Everyone,
